Type,Cases,Deaths
True Data,788323.0,20145.0
True Data,791385.0,20242.0
True Data,794681.0,20361.0
True Data,798650.0,20486.0
True Data,802904.0,20607.0
True Data,806010.0,20700.0
True Data,808973.0,20760.0
True Data,812700.0,20830.0
True Data,815526.0,20914.0
True Data,818967.0,21007.0
True Data,822038.0,21089.0
True Data,824754.0,21168.0
True Data,828335.0,21238.0
True Data,830352.0,21261.0
True Data,832058.0,21298.0
True Data,836455.0,21395.0
True Data,838998.0,21439.0
True Data,842393.0,21509.0
True Data,845454.0,21581.0
True Data,848060.0,21631.0
True Data,850617.0,21675.0
True Data,853901.0,21720.0
True Data,857206.0,21761.0
True Data,860200.0,21810.0
True Data,863301.0,21868.0
True Data,866528.0,21915.0
True Data,869058.0,21961.0
True Data,871243.0,21990.0
True Data,874909.0,22014.0
True Data,877747.0,22043.0
True Data,880487.0,22105.0
True Data,883619.0,22152.0
True Data,886492.0,22183.0
True Data,889255.0,22212.0
True Data,891807.0,22234.0
True Data,895889.0,22271.0
True Data,898963.0,22302.0
True Data,901948.0,22330.0
True Data,905071.0,22367.0
True Data,908645.0,22397.0
True Data,911560.0,22426.0
True Data,914204.0,22455.0
True Data,917994.0,22484.0
True Data,921011.0,22509.0
True Data,924444.0,22543.0
True Data,928117.0,22577.0
True Data,932391.0,22605.0
True Data,935714.0,22635.0
True Data,938856.0,22656.0
True Data,943715.0,22695.0
True Data,947393.0,22715.0
True Data,951589.0,22739.0
True Data,956755.0,22771.0
True Data,961839.0,22809.0
True Data,966076.0,22830.0
True Data,970166.0,22855.0
True Data,976479.0,22871.0
True Data,980365.0,22892.0
True Data,989493.0,22960.0
True Data,995249.0,22998.0
True Data,998882.0,23011.0
True Data,1005978.0,23038.0
True Data,1009472.0,23060.0
True Data,1017761.0,23083.0
True Data,1028626.0,23132.0
True Data,1036386.0,23160.0
True Data,1044733.0,23196.0
True Data,1053999.0,23236.0
True Data,1061369.0,23270.0
True Data,1069041.0,23294.0
True Data,1079582.0,23336.0
True Data,1087048.0,23370.0
True Data,1096000.0,23428.0
True Data,1105778.0,23482.0
True Data,1115036.0,23531.0
True Data,1122116.0,23572.0
True Data,1130006.0,23611.0
True Data,1140322.0,23649.0
True Data,1147636.0,23698.0
True Data,1155855.0,23761.0
True Data,1164756.0,23810.0
True Data,1173220.0,23870.0
True Data,1180681.0,23912.0
True Data,1187484.0,23950.0
True Data,1196400.0,24011.0
True Data,1203429.0,24048.0
True Data,1211651.0,24110.0
True Data,1220914.0,24165.0
True Data,1229305.0,24220.0
True Data,1235669.0,24245.0
True Data,1241406.0,24269.0
True Data,1252391.0,24334.0
True Data,1259137.0,24400.0
True Data,1266916.0,24437.0
True Data,1275006.0,24479.0
True Data,1282734.0,24523.0
True Data,1288676.0,24554.0
True Data,1294120.0,24577.0
True Data,1302993.0,24660.0
True Data,1308541.0,24693.0
True Data,1315211.0,24755.0
True Data,1321104.0,24802.0
True Data,1327839.0,24857.0
True Data,1332229.0,24884.0
True Data,1336374.0,24904.0
True Data,1342824.0,24964.0
True Data,1346736.0,24999.0
True Data,1351766.0,25050.0
True Data,1356616.0,25093.0
True Data,1360950.0,25148.0
True Data,1364195.0,25180.0
True Data,1367023.0,25206.0
True Data,1368739.0,25231.0
True Data,1372492.0,25269.0
True Data,1374976.0,25303.0
True Data,1379674.0,25393.0
True Data,1382769.0,25424.0
True Data,1384928.0,25451.0
True Data,1386871.0,25473.0
True Data,1389814.0,25528.0
True Data,1391540.0,25546.0
True Data,1393732.0,25590.0
True Data,1395909.0,25627.0
True Data,1397898.0,25668.0
True Data,1399231.0,25686.0
True Data,1400580.0,25694.0
True Data,1402369.0,25741.0
True Data,1403490.0,25774.0
True Data,1404927.0,25816.0
True Data,1406417.0,25849.0
True Data,1407798.0,25863.0
True Data,1408935.0,25883.0
True Data,1409909.0,25895.0
True Data,1411228.0,25921.0
True Data,1412121.0,25943.0
True Data,1413203.0,25992.0
True Data,1414304.0,26004.0
True Data,1415272.0,26016.0
True Data,1416009.0,26042.0
True Data,1416589.0,26055.0
True Data,1417625.0,26103.0
True Data,1418135.0,26121.0
True Data,1418853.0,26144.0
True Data,1419569.0,26162.0
True Data,1420191.0,26174.0
True Data,1420724.0,26184.0
True Data,1421122.0,26187.0
True Data,1422053.0,26215.0
True Data,1422618.0,26246.0
True Data,1423170.0,26273.0
True Data,1423321.0,26273.0
True Data,1424160.0,26306.0
True Data,1424502.0,26312.0
True Data,1424784.0,26316.0
True Data,1425594.0,26336.0
True Data,1425884.0,26345.0
True Data,1426435.0,26356.0
True Data,1427027.0,26375.0
True Data,1427582.0,26383.0
True Data,1427899.0,26389.0
True Data,1428162.0,26396.0
True Data,1428689.0,26405.0
True Data,1429029.0,26414.0
True Data,1429369.0,26427.0
True Data,1429747.0,26436.0
True Data,1430127.0,26450.0
True Data,1430437.0,26452.0
Linear Model,1.0,5050.0377176410275
Linear Model,1.0,5050.0377176410275
Linear Model,2.0,5050.054176242152
Linear Model,2.0,5050.054176242152
Linear Model,2.0,5050.054176242152
Linear Model,4.0,5050.087093444398
Linear Model,4.0,5050.087093444398
Linear Model,4.0,5050.087093444398
Linear Model,4.0,5050.087093444398
Linear Model,4.0,5050.087093444398
Linear Model,5.0,5050.1035520455225
Linear Model,5.0,5050.1035520455225
Linear Model,7.0,5050.13646924777
Linear Model,7.0,5050.13646924777
Linear Model,7.0,5050.13646924777
Linear Model,7.0,5050.13646924777
Linear Model,7.0,5050.13646924777
Linear Model,7.0,5050.13646924777
Linear Model,7.0,5050.13646924777
Linear Model,7.0,5050.13646924777
Linear Model,7.0,5050.13646924777
Linear Model,7.0,5050.13646924777
Linear Model,8.0,5050.152927848893
Linear Model,8.0,5050.152927848893
Linear Model,8.0,5050.152927848893
Linear Model,8.0,5050.152927848893
Linear Model,9.0,5050.169386450017
Linear Model,9.0,5050.169386450017
Linear Model,9.0,5050.169386450017
Linear Model,10.0,5050.185845051141
Linear Model,12.0,5050.2187622533875
Linear Model,12.0,5050.2187622533875
Linear Model,14.0,5050.251679455635
Linear Model,15.0,5050.268138056759
Linear Model,21.0,5050.366889663501
Linear Model,26.0,5050.449182669119
Linear Model,32.0,5050.547934275861
Linear Model,37.0,5050.630227281479
Linear Model,42.0,5050.712520287097
Linear Model,46.0,5050.778354691592
Linear Model,60.0,5051.008775107322
Linear Model,64.0,5051.0746095118175
Linear Model,74.0,5051.239195523053
Linear Model,88.0,5051.469615938784
Linear Model,92.0,5051.535450343279
Linear Model,127.0,5052.111501382607
Linear Model,141.0,5052.341921798337
Linear Model,213.0,5053.526941079239
Linear Model,236.0,5053.905488905083
Linear Model,296.0,5054.893004972501
Linear Model,450.0,5057.427629545542
Linear Model,532.0,5058.77723483768
Linear Model,732.0,5062.068955062407
Linear Model,921.0,5065.179630674776
Linear Model,1175.0,5069.360115360179
Linear Model,1653.0,5077.227326697279
Linear Model,2045.0,5083.679098337745
Linear Model,2600.0,5092.813621961364
Linear Model,3185.0,5102.441903618693
Linear Model,3683.0,5110.638286978266
Linear Model,4550.0,5124.90789415246
Linear Model,5249.0,5136.412456337884
Linear Model,6085.0,5150.171846877245
Linear Model,7015.0,5165.478345922229
Linear Model,8121.0,5183.6815587649735
Linear Model,9246.0,5202.197485029067
Linear Model,10527.0,5223.280953068448
Linear Model,12219.0,5251.128906169644
Linear Model,13559.0,5273.18343167532
Linear Model,14906.0,5295.353167388861
Linear Model,16475.0,5321.176712551851
Linear Model,17521.0,5338.392409327176
Linear Model,18858.0,5360.397559029481
Linear Model,20122.0,5381.201230849761
Linear Model,21502.0,5403.914100400382
Linear Model,22777.0,5424.898816833022
Linear Model,24084.0,5446.410208501617
Linear Model,25303.0,5466.473243271333
Linear Model,26937.0,5493.366597507358
Linear Model,28563.0,5520.1282829343945
Linear Model,30223.0,5547.449560799634
Linear Model,32790.0,5589.698789884014
Linear Model,34876.0,5624.031431827925
Linear Model,36358.0,5648.423078693158
Linear Model,38026.0,5675.876025367386
Linear Model,39591.0,5701.633736125881
Linear Model,41334.0,5730.321077884383
Linear Model,43641.0,5768.291070676617
Linear Model,45310.0,5795.76047595197
Linear Model,47007.0,5823.690722058785
Linear Model,48570.0,5849.415515615032
Linear Model,50002.0,5872.984232424083
Linear Model,51621.0,5899.630707643253
Linear Model,53297.0,5927.215323126472
Linear Model,55061.0,5956.248295508571
Linear Model,56716.0,5983.487280368192
Linear Model,58549.0,6013.655896227822
Linear Model,60023.0,6037.9158742840655
Linear Model,61183.0,6057.007851587487
Linear Model,62743.0,6082.683269340362
Linear Model,64100.0,6105.01759106514
Linear Model,65703.0,6131.400728666333
Linear Model,67146.0,6155.1504900877435
Linear Model,68485.0,6177.188556992295
