Country,Date,Cases,Deaths,Tests,Cases/Population,Diff Cases/Population,Deaths/Cases,Tests/Cases
United States,2020-12-17,17323704.0,315544.0,234639830.0,5.278398537477148,7.3095673369897085,1.8214580438455887,13.544437725327102
United States,2020-12-18,17575536.0,318513.0,236659678.0,5.355129798903108,7.673126142595965,1.8122519848043326,13.465289365854902
United States,2020-12-19,17767638.0,321186.0,238369841.0,5.413661791590493,5.853199268738507,1.8077022956005746,13.415955514176956
United States,2020-12-20,17955653.0,322916.0,239645381.0,5.470948507007922,5.72867154174288,1.7984085569040569,13.346514381849548
United States,2020-12-21,18154356.0,324820.0,241171185.0,5.531491773308958,6.054326630103635,1.789212462287288,13.28448031976458
United States,2020-12-22,18352463.0,328216.0,243156560.0,5.591853443022547,6.036166971358892,1.7884030061796063,13.249260330888557
United States,2020-12-23,18582087.0,331641.0,245433387.0,5.661818098720293,6.996465569774557,1.78473494392745,13.208063604481024
United States,2020-12-24,18776242.0,334540.0,247323306.0,5.720975624619134,5.915752589884171,1.7817196859733702,13.172140942793558
United States,2020-12-25,18874122.0,335995.0,248395897.0,5.750798903107861,2.982327848872668,1.7801887685159605,13.16065971174712
United States,2020-12-26,19100538.0,337884.0,249377252.0,5.819786106032907,6.8987202925045565,1.7689763502996618,13.05603287195366
United States,2020-12-27,19256383.0,339321.0,250313826.0,5.8672708714198665,4.748476538695989,1.7621222012462052,12.999005368765255
United States,2020-12-28,19430535.0,341329.0,251595942.0,5.920333638025594,5.306276660572795,1.7566629019736202,12.948482478737718
United States,2020-12-29,19630943.0,344944.0,253451963.0,5.981396404631322,6.106276660572796,1.7571443205759398,12.910839942839221
United States,2020-12-30,19864644.0,348736.0,255637367.0,6.052603290676418,7.1206886045095175,1.7555612876827795,12.868962917231238
United States,2020-12-31,20100244.0,352166.0,257557564.0,6.1243887873248015,7.178549664838396,1.752048383094255,12.813653605399018
United States,2021-01-01,20254160.0,354299.0,258800833.0,6.1712858013406455,4.689701401584401,1.7492653361087303,12.777663107233279
United States,2021-01-02,20554622.0,356854.0,259909388.0,6.262834247410116,9.154844606947066,1.7361253347300671,12.64481477693922
